"MAC Address","AP Name","Description","Status","IP Address","Clients","Model","Channel (2.4G)","Channel (5G)","AP Firmware","Serial","Last Seen","Location"
"18:4B:0D:0B:6C:20","RCH-HDA-AP28","HDA - GF - Salon de Parquet","Online","10.1.37.128","1","H510","6 (20MHz)","52 (40MHz)","3.6.2.0.254","321809008644","2020/11/24 20:00:44","Hotel D'Angleterre"
"18:4B:0D:0C:24:60","RCH-HDA-AP30","HDA - Basement - Bar 1","Online","10.1.37.130","2","H510","11 (20MHz)","36 (40MHz)","3.6.2.0.254","331809000792","2020/11/24 20:02:04","Hotel D'Angleterre"
"18:4B:0D:0C:25:A0","RCH-HDA-AP29","HDA - Basement - Staff Cafeteria","Online","10.1.37.129","1","H510","11 (20MHz)","36 (40MHz)","3.6.2.0.254","331809000812","2020/11/24 20:02:06","Hotel D'Angleterre"
"C8:08:73:22:7E:C0","RCH-HDA-AP04","HDA - 4F - Room 428","Online","10.1.37.104","1","R310","6 (20MHz)","52 (40MHz)","3.6.2.0.254","451809000613","2020/11/24 20:00:39","Hotel D'Angleterre"
"C8:08:73:22:7F:40","RCH-HDA-AP10","HDA - 3F - Room 327","Online","10.1.37.110","0","R310","11 (20MHz)","36 (40MHz)","3.6.2.0.254","451809000621","2020/11/24 20:00:42","Hotel D'Angleterre"
"C8:08:73:22:80:10","RCH-HDA-AP17","HDA - 2F - Room 230","Online","10.1.37.117","0","R310","6 (20MHz)","36 (40MHz)","3.6.2.0.254","451809000634","2020/11/24 20:00:53","Hotel D'Angleterre"
"C8:08:73:22:A1:30","RCH-HDA-AP02","HDA - 4F - Room 424","Online","10.1.37.102","0","R310","1 (20MHz)","36 (40MHz)","3.6.2.0.254","451809001164","2020/11/24 20:00:44","Hotel D'Angleterre"
"C8:08:73:22:B0:80","RCH-HDA-AP05","HDA - 4F - Room 430","Online","10.1.37.105","0","R310","11 (20MHz)","60 (40MHz)","3.6.2.0.254","451809001409","2020/11/24 20:02:10","Hotel D'Angleterre"
"C8:08:73:22:B8:20","RCH-HDA-AP07","HDA - 3F - Room 321","Online","10.1.37.107","0","R310","6 (20MHz)","60 (40MHz)","3.6.2.0.254","451809001531","2020/11/24 20:02:11","Hotel D'Angleterre"
"C8:08:73:22:B8:60","RCH-HDA-AP25","HDA - GF - Restaurant","Online","10.1.37.125","6","R310","1 (20MHz)","52 (40MHz)","3.6.2.0.254","451809001535","2020/11/24 20:02:14","Hotel D'Angleterre"
"C8:08:73:22:B9:80","RCH-HDA-AP15","HDA - 2F - Room 226","Online","10.1.37.115","0","R310","1 (20MHz)","44 (40MHz)","3.6.2.0.254","451809001553","2020/11/24 20:02:06","Hotel D'Angleterre"
"C8:08:73:22:C3:80","RCH-HDA-AP24","HDA - 1F - Room 131","Online","10.1.37.124","0","R310","1 (20MHz)","60 (40MHz)","3.6.2.0.254","451809001713","2020/11/24 20:02:10","Hotel D'Angleterre"
"C8:08:73:22:CC:40","RCH-HDA-AP03","HDA - 4F - Room 426","Online","10.1.37.103","3","R310","6 (20MHz)","60 (40MHz)","3.6.2.0.254","451809001853","2020/11/24 20:02:12","Hotel D'Angleterre"
"C8:08:73:22:EC:A0","RCH-HDA-AP13","HDA - 2F - Room 222","Online","10.1.37.113","0","R310","1 (20MHz)","36 (40MHz)","3.6.2.0.254","451809002371","2020/11/24 20:00:40","Hotel D'Angleterre"
"C8:08:73:22:F7:C0","RCH-HDA-AP16","HDA - 2F - Room 228","Online","10.1.37.116","1","R310","1 (20MHz)","44 (40MHz)","3.6.2.0.254","451809002549","2020/11/24 20:02:08","Hotel D'Angleterre"
"C8:08:73:22:F7:F0","RCH-HDA-AP19","HDA - 1F - Room 121","Online","10.1.37.119","2","R310","1 (20MHz)","52 (40MHz)","3.6.2.0.254","451809002552","2020/11/24 20:00:43","Hotel D'Angleterre"
